fecha,precio,año_hecho,año_renovado,metros_cuadrados,pisos,habitaciones,baños,calle,codigo_zip,estado,ciudad
24/06/2019,"$260,070",01/01/1982,2016,762,1,4,2,2400 WALNUT RIDGE ST,75229,TX,DALLAS
18/07/2019,"$456,280",01/01/1982,2016,866,2,4,2,10400 BIG THICKET DR,75217,TX,DALLAS
31/07/2019,"$237,820",01/01/1982,2016,814,1,5,3,9200 DARTWOOD LN,75225,TX,DALLAS
14/08/2019,"$231,000",01/01/1980,2016,680,1,4,2,4800 SIMCOE ST,75228,TX,DALLAS
31/07/2019,"$1,410,820",01/01/1980,2016,1018,2,4,2,6926 STEFANI DR,75225,TX,DALLAS
16/07/2019,"$740,220",01/01/1980,2016,792,2,4,3,7800 MATTISON ST,75217,TX,DALLAS
28/06/2019,"$275,830",01/01/1980,2016,640,2,4,2,400 SUNNYSIDE AVE,75211,TX,DALLAS
27/06/2019,"$355,420",01/01/1980,2016,399,2,2,1,200 KITTIWAKE CIR,75211,TX,DALLAS
24/07/2019,"$390,780",01/01/1979,2016,503,1,3,2,11600 TUSCANY WAY,75218,TX,DALLAS
11/07/2019,"$1,152,800",01/01/1977,2016,716,1,3,2,2400 51ST ST,75216,TX,DALLAS
07/06/2019,"$678,110",01/01/1977,2016,920,2,5,3,2901 MAGNOLIA HILL CT,75201,TX,DALLAS
25/07/2019,"$281,880",01/01/1977,2016,735,1,4,2,9821 COUNTY CORK DR,75218,TX,DALLAS
20/06/2019,"$225,820",01/01/1977,2016,448,1,3,2,1600 SEALE ST,75208,TX,DALLAS
07/06/2019,"$552,190",01/01/1977,2016,945,2,3,2,515 ERVAY ST,75201,TX,DALLAS
21/07/2019,"$457,280",01/01/1973,2016,421,2,2,2,444 OAK HOLLOW DR,75217,TX,DALLAS
10/06/2019,"$2,202,450",01/01/1972,2016,363,1,4,2,2900 TALISMAN DR,75229,TX,DALLAS
07/08/2019,"$1,078,030",01/01/1972,2016,1036,1,3,3,2900 VICTORIAN FOREST DR,75227,TX,DALLAS
28/07/2019,"$335,730",01/01/1972,2016,418,2,4,2,2612 THE MALL,75219,TX,DALLAS
27/06/2019,"$182,460",01/01/1969,2016,335,1,3,1,2540 BAHAMA DR,75211,TX,DALLAS
13/08/2019,"$544,470",01/01/1969,2016,384,1,3,2,9401 DIXIE LN,75228,TX,DALLAS
30/07/2019,"$907,040",01/01/1968,2016,972,1,5,4,1011.5 CAMERON AVE,75223,TX,DALLAS
31/07/2019,"$217,920",01/01/1968,2016,354,1,3,2,12201 MONTEGO PLZ,75230,TX,DALLAS
07/07/2019,"$327,510",01/01/1968,2016,436,1,3,2,6701 ALEXANDER DR,75214,TX,DALLAS
19/06/2019,"$543,510",01/01/1965,2016,701,1,3,3,1201 MEDICAL DISTRICT DR,75207,TX,DALLAS
23/07/2019,"$417,890",01/01/1951,2016,460,1,3,2,900 GAUSE LN,75217,TX,DALLAS
12/08/2019,"$871,620",01/01/1921,2016,969,2,4,3,11001 MILHOF DR,75228,TX,DALLAS
03/07/2019,"$599,860",01/01/1919,2016,634,1,4,3,4000 RANGER DR,75212,TX,DALLAS
10/07/2019,"$876,330",01/01/1907,2016,963,2,5,3,2201 LAWRENCE ST,75215,TX,DALLAS
14/07/2019,"$436,800",01/01/1904,2016,274,1,2,1,2001 SKYLARK DR,75216,TX,DALLAS
08/07/2019,"$442,400",01/01/1904,2016,430,1,2,1,2700 LAWTHERWOOD CT,75214,TX,DALLAS
03/07/2019,"$842,790",01/01/1904,2016,988,2,4,3,4201 BERNAL DR,75212,TX,DALLAS
27/06/2019,"$476,090",01/01/1984,2015,622,1,3,2,5200 PRESTON HAVEN DR,75229,TX,DALLAS
14/06/2019,"$783,880",01/01/1982,2015,896,2,4,3,1100 MORELAND AVE,75204,TX,DALLAS
18/07/2019,"$253,640",01/01/1982,2015,634,1,4,3,800 WOODROCK DR,75217,TX,DALLAS
12/08/2019,"$527,350",01/01/1982,2015,960,1,6,4,11000 PEPPERIDGE CIR,75228,TX,DALLAS
14/07/2019,"$607,580",01/01/1981,2015,875,2,3,3,4701 NOME ST,75216,TX,DALLAS
02/07/2019,"$399,770",01/01/1981,2015,902,2,4,3,500 BOTANY BAY DR,75211,TX,DALLAS
21/07/2019,"$310,400",01/01/1981,2015,369,1,3,2,6201 JEANE ST,75217,TX,DALLAS
07/06/2019,"$401,830",01/01/1981,2015,1180,2,4,3,2300 LEONARD ST,75201,TX,DALLAS
31/07/2019,"$222,850",01/01/1981,2015,552,2,3,2,3800 MORNING DEW CIR,75224,TX,DALLAS
15/07/2019,"$226,090",01/01/1981,2015,567,1,3,2,4101 CALDER ST,75216,TX,DALLAS
02/07/2019,"$589,610",01/01/1981,2015,756,2,3,2,1621 WESTERN PARK CT,75211,TX,DALLAS
26/06/2019,"$196,850",01/01/1980,2015,466,1,3,2,3220 AL LIPSCOMB WAY,75210,TX,DALLAS
30/07/2019,"$303,330",01/01/1980,2015,357,1,3,1,1601 SHELMIRE DR,75224,TX,DALLAS
13/06/2019,"$425,670",01/01/1980,2015,521,1,3,2,2200 APOLLONIA LN,75204,TX,DALLAS
04/07/2019,"$318,410",01/01/1980,2015,344,1,3,2,6501 ARBORIST LN,75214,TX,DALLAS
30/06/2019,"$677,050",01/01/1980,2015,939,1,3,3,1800 DRYDEN DR,75211,TX,DALLAS
19/06/2019,"$1,403,160",01/01/1980,2015,850,2,3,3,5101 RED HICKORY LN,75206,TX,DALLAS
20/06/2019,"$254,440",01/01/1980,2015,527,1,3,2,901 BASSETT PL,75208,TX,DALLAS
10/07/2019,"$373,470",01/01/1979,2015,381,1,3,2,2200 DYSON ST,75215,TX,DALLAS
23/07/2019,"$458,470",01/01/1979,2015,408,1,3,2,9401 SAINT ROSALIE DR,75217,TX,DALLAS
14/08/2019,"$472,430",01/01/1979,2015,783,2,4,2,7300 RENA RD,75228,TX,DALLAS
25/07/2019,"$441,570",01/01/1979,2015,625,1,3,3,400 BROOKHURST DR,75218,TX,DALLAS
21/06/2019,"$241,330",01/01/1979,2015,613,1,4,2,1200 LAUSANNE AVE,75208,TX,DALLAS
13/08/2019,"$332,840",01/01/1979,2015,713,1,3,2,9700 TWIN CREEK CIR,75228,TX,DALLAS
08/07/2019,"$427,530",01/01/1979,2015,567,1,3,2,7000 IRONGATE LN,75214,TX,DALLAS
20/06/2019,"$577,780",01/01/1978,2015,960,1,4,3,400 ALLISON DR,75208,TX,DALLAS
11/06/2019,"$220,090",01/01/1977,2015,597,1,3,2,200 PAGE AVE,75203,TX,DALLAS
05/08/2019,"$501,520",01/01/1977,2015,1177,3,4,3,4701 COYOTE TRL,75227,TX,DALLAS
06/08/2019,"$177,250",01/01/1977,2015,335,1,2,1,9902 CHILMARK WAY,75227,TX,DALLAS
03/07/2019,"$245,080",01/01/1977,2015,448,1,3,2,3500 JENNY DALE DR,75212,TX,DALLAS
27/06/2019,"$1,182,570",01/01/1976,2015,527,1,3,2,101 ALBROOK DR,75211,TX,DALLAS
04/07/2019,"$428,470",01/01/1976,2015,716,1,5,3,6901 BUCKNELL DR,75214,TX,DALLAS
21/07/2019,"$177,850",01/01/1976,2015,427,1,3,2,100 CREEK COVE DR,75217,TX,DALLAS
10/06/2019,"$628,330",01/01/1976,2015,640,1,4,2,2101 MINEHAMPTON LN,75201,TX,DALLAS
02/07/2019,"$377,230",01/01/1975,2015,500,1,3,2,6101 RIDAN LN,75211,TX,DALLAS
21/06/2019,"$400,510",01/01/1974,2015,875,2,3,3,900 STEVENS WOODS CT,75208,TX,DALLAS
28/06/2019,"$469,840",01/01/1973,2015,561,1,3,2,400 COOMBS CREEK DR,75211,TX,DALLAS
18/06/2019,"$550,120",01/01/1973,2015,1113,2,7,4,5701 SKILLMAN ST,75206,TX,DALLAS
13/06/2019,"$296,200",01/01/1973,2015,738,1,2,2,4828 ALCOTT ST,75204,TX,DALLAS
10/07/2019,"$533,450",01/01/1972,2015,1308,2,4,3,5700 JARVIS CIR,75215,TX,DALLAS
28/06/2019,"$237,600",01/01/1972,2015,585,1,4,3,5408 PREAKNESS LN,75211,TX,DALLAS
08/08/2019,"$607,200",01/01/1971,2015,890,1,4,3,3500 ALTURA AVE,75228,TX,DALLAS
02/07/2019,"$328,220",01/01/1970,2015,585,2,3,1,1001 GALLANT FOX DR,75211,TX,DALLAS
11/06/2019,"$1,137,920",01/01/1970,2015,1073,1,4,3,220 CORINTH STREET RD,75203,TX,DALLAS
26/06/2019,"$971,420",01/01/1965,2015,896,1,4,3,4900 SUSAN ST,75211,TX,DALLAS
31/07/2019,"$775,780",01/01/1955,2015,878,1,4,3,2301 TOLUCA AVE,75224,TX,DALLAS
17/06/2019,"$772,630",01/01/1952,2015,591,1,3,2,5901 AUBURNDALE AVE,75205,TX,DALLAS
11/06/2019,"$615,810",01/01/1951,2015,652,1,4,2,200 JERDEN LN,75203,TX,DALLAS
09/07/2019,"$867,180",01/01/1945,2015,686,2,3,2,1000 BELLEVIEW ST,75215,TX,DALLAS
25/07/2019,"$334,950",01/01/1943,2015,527,1,3,2,9400 TARLETON ST,75218,TX,DALLAS
25/06/2019,"$520,980",01/01/1942,2015,869,2,4,4,5415 CARUTH BLVD,75209,TX,DALLAS
23/07/2019,"$827,760",01/01/1939,2015,1195,2,4,4,8601 GALEN LN,75217,TX,DALLAS
04/07/2019,"$701,490",01/01/1930,2015,741,2,4,3,4051 LA REUNION PKWY,75212,TX,DALLAS
13/08/2019,"$1,052,360",01/01/1925,2015,735,2,4,3,8901 LINDARO LN,75228,TX,DALLAS
02/07/2019,"$690,610",01/01/1914,2015,948,2,4,3,1900 VIERA PLZ,75211,TX,DALLAS
28/06/2019,"$480,770",01/01/1913,2015,445,2,3,1,400 STARETTA LN,75211,TX,DALLAS
18/07/2019,"$539,320",01/01/1909,2015,463,1,3,1,600 CEDARCLIFF DR,75217,TX,DALLAS
29/07/2019,"$363,720",01/01/1909,2015,445,2,2,2,5100 PALOMAR LN,75229,TX,DALLAS
05/08/2019,"$410,030",01/01/1908,2015,924,2,5,3,4700 WILBURTON DR,75227,TX,DALLAS
08/08/2019,"$1,758,320",01/01/1907,2015,738,2,3,2,11801 LA FONDA BLVD,75228,TX,DALLAS
18/07/2019,"$287,800",01/01/1906,2015,607,1,3,2,901 PLEASANT WOODS DR,75217,TX,DALLAS
